pl_name,pl_type
Kepler-1411 b,neptune-like
Kepler-1419 b,neptune-like
Kepler-142 c,neptune-like
Kepler-142 d,neptune-like
Kepler-1432 b,neptune-like
Kepler-143 b,neptune-like
Kepler-143 c,neptune-like
Kepler-1442 b,neptune-like
Kepler-1444 b,neptune-like
Kepler-1447 b,neptune-like
Kepler-1451 b,neptune-like
Kepler-1452 b,neptune-like
Kepler-1453 b,neptune-like
Kepler-1455 b,neptune-like
Kepler-1458 b,neptune-like
Kepler-145 b,neptune-like
Kepler-1462 b,neptune-like
Kepler-1467 b,neptune-like
Kepler-1469 b,neptune-like
Kepler-146 b,neptune-like
Kepler-146 c,neptune-like
Kepler-1474 b,neptune-like
Kepler-1475 b,neptune-like
Kepler-147 c,neptune-like
Kepler-1484 b,neptune-like
Kepler-1486 b,neptune-like
Kepler-1487 b,neptune-like
HD 108236 e,neptune-like
HD 109271 b,neptune-like
HD 109271 c,neptune-like
HD 110082 b,neptune-like
HD 110113 b,neptune-like
HD 110113 c,neptune-like
HD 11964 c,neptune-like
HD 125595 b,neptune-like
HD 125612 c,neptune-like
HD 134060 b,neptune-like
HD 134060 c,neptune-like
HD 136352 c,neptune-like
HD 136352 d,neptune-like
HD 13808 b,neptune-like
HD 13808 c,neptune-like
HD 141004 b,neptune-like
HD 1461 b,neptune-like
HD 1461 c,neptune-like
HD 147379 b,neptune-like
HD 152843 b,neptune-like
HD 152843 c,neptune-like
HD 154088 b,neptune-like
HD 156668 c,neptune-like
HD 158259 c,neptune-like
HD 158259 d,neptune-like
HD 158259 e,neptune-like
HD 158259 f,neptune-like
HD 160691 d,neptune-like
HD 16417 b,neptune-like
HD 164595 b,neptune-like
HD 164922 c,neptune-like
HD 164922 e,neptune-like
HD 168009 b,neptune-like
HD 175607 b,neptune-like
HD 176986 b,neptune-like
HD 176986 c,neptune-like
HD 177565 b,neptune-like
HD 179079 b,neptune-like
HD 180617 b,neptune-like
HD 181433 b,neptune-like
HD 183579 b,neptune-like
HD 189567 b,neptune-like
HD 189567 c,neptune-like
HD 190007 b,neptune-like
HD 190360 c,neptune-like
HD 191939 b,neptune-like
HD 191939 c,neptune-like
HD 191939 d,neptune-like
HD 192310 b,neptune-like
Kepler-298 d,neptune-like
Kepler-299 c,neptune-like
Kepler-29 b,neptune-like
Kepler-29 c,neptune-like
Kepler-300 c,neptune-like
Kepler-302 b,neptune-like
Kepler-304 b,neptune-like
Kepler-304 c,neptune-like
Kepler-304 d,neptune-like
Kepler-305 b,neptune-like
Kepler-305 c,neptune-like
Kepler-305 d,neptune-like
Kepler-306 c,neptune-like
Kepler-306 d,neptune-like
Kepler-306 e,neptune-like
Kepler-307 b,neptune-like
Kepler-307 c,neptune-like
Kepler-308 b,neptune-like
Kepler-308 c,neptune-like
Kepler-309 c,neptune-like
Kepler-30 b,neptune-like
Kepler-30 d,neptune-like
Kepler-310 c,neptune-like
Kepler-312 c,neptune-like
Kepler-313 b,neptune-like
Kepler-313 c,neptune-like
Kepler-314 c,neptune-like
Kepler-315 b,neptune-like
Kepler-315 c,neptune-like
Kepler-318 b,neptune-like
Kepler-318 c,neptune-like
Kepler-319 c,neptune-like
Kepler-319 d,neptune-like
Kepler-31 b,neptune-like
Kepler-321 c,neptune-like
Kepler-324 c,neptune-like
Kepler-325 b,neptune-like
Kepler-325 c,neptune-like
Kepler-325 d,neptune-like
Kepler-32 c,neptune-like
Kepler-32 d,neptune-like
Kepler-335 b,neptune-like
Kepler-335 c,neptune-like
Kepler-336 c,neptune-like
Kepler-336 d,neptune-like
Kepler-338 c,neptune-like
Kepler-338 d,neptune-like
Kepler-33 d,neptune-like
Kepler-33 e,neptune-like
Kepler-512 b,neptune-like
Kepler-513 b,neptune-like
Kepler-516 b,neptune-like
Kepler-517 b,neptune-like
Kepler-518 b,neptune-like
Kepler-519 b,neptune-like
Kepler-51 b,neptune-like
Kepler-51 c,neptune-like
Kepler-51 d,neptune-like
Kepler-521 b,neptune-like
Kepler-525 b,neptune-like
Kepler-527 b,neptune-like
Kepler-52 b,neptune-like
Kepler-530 b,neptune-like
Kepler-531 b,neptune-like
Kepler-532 b,neptune-like
Kepler-533 b,neptune-like
Kepler-534 b,neptune-like
Kepler-535 b,neptune-like
Kepler-536 b,neptune-like
Kepler-53 c,neptune-like
Kepler-53 d,neptune-like
Kepler-540 b,neptune-like
Kepler-541 b,neptune-like
Kepler-543 b,neptune-like
Kepler-544 b,neptune-like
Kepler-545 b,neptune-like
Kepler-547 b,neptune-like
Kepler-549 b,neptune-like
Kepler-549 c,neptune-like
Kepler-550 b,neptune-like
Kepler-551 b,neptune-like
Kepler-552 b,neptune-like
Kepler-553 b,neptune-like
Kepler-554 b,neptune-like
Kepler-555 b,neptune-like
Kepler-556 b,neptune-like
Kepler-557 b,neptune-like
Kepler-558 b,neptune-like
Kepler-559 b,neptune-like
Kepler-561 c,neptune-like
Kepler-562 b,neptune-like
Kepler-563 b,neptune-like
Kepler-564 b,neptune-like
Kepler-565 b,neptune-like
Kepler-566 b,neptune-like
Kepler-567 b,neptune-like
Kepler-568 b,neptune-like
Kepler-569 b,neptune-like
Kepler-436 c,neptune-like
Kepler-437 b,neptune-like
Kepler-439 b,neptune-like
Kepler-443 b,neptune-like
Kepler-445 c,neptune-like
Kepler-449 c,neptune-like
Kepler-450 b,neptune-like
Kepler-453 b,neptune-like
Kepler-454 b,neptune-like
Kepler-458 c,neptune-like
Kepler-460 c,neptune-like
Kepler-461 b,neptune-like
Kepler-462 c,neptune-like
Kepler-463 b,neptune-like
Kepler-464 b,neptune-like
Kepler-465 b,neptune-like
Kepler-466 b,neptune-like
Kepler-467 b,neptune-like
Kepler-472 b,neptune-like
Kepler-473 b,neptune-like
Kepler-474 b,neptune-like
Kepler-475 b,neptune-like
Kepler-476 b,neptune-like
Kepler-478 b,neptune-like
Kepler-479 b,neptune-like
Kepler-47 b,neptune-like
Kepler-47 c,neptune-like
Kepler-47 d,neptune-like
Kepler-480 b,neptune-like
Kepler-481 b,neptune-like
Kepler-482 b,neptune-like
Kepler-483 b,neptune-like
Kepler-484 b,neptune-like
Kepler-487 c,neptune-like
Kepler-495 b,neptune-like
Kepler-496 b,neptune-like
Kepler-497 b,neptune-like
Kepler-498 b,neptune-like
Kepler-499 b,neptune-like
Kepler-49 c,neptune-like
Kepler-4 b,neptune-like
Kepler-500 b,neptune-like
Kepler-501 b,neptune-like
Kepler-502 b,neptune-like
Kepler-505 b,neptune-like
Kepler-506 b,neptune-like
Kepler-509 b,neptune-like
Kepler-50 c,neptune-like
Kepler-510 b,neptune-like
Kepler-1677 b,neptune-like
Kepler-1678 b,neptune-like
Kepler-1681 b,neptune-like
Kepler-1682 b,neptune-like
Kepler-1684 b,neptune-like
Kepler-1685 b,neptune-like
Kepler-168 c,neptune-like
Kepler-1690 b,neptune-like
Kepler-1696 b,neptune-like
Kepler-169 e,neptune-like
Kepler-169 f,neptune-like
Kepler-1700 b,neptune-like
Kepler-1701 b,neptune-like
Kepler-170 c,neptune-like
Kepler-171 b,neptune-like
Kepler-171 c,neptune-like
Kepler-172 b,neptune-like
Kepler-172 c,neptune-like
Kepler-172 d,neptune-like
Kepler-172 e,neptune-like
Kepler-173 c,neptune-like
Kepler-174 d,neptune-like
Kepler-175 b,neptune-like
Kepler-175 c,neptune-like
Kepler-176 c,neptune-like
Kepler-177 b,neptune-like
Kepler-177 c,neptune-like
Kepler-178 b,neptune-like
Kepler-178 c,neptune-like
Kepler-178 d,neptune-like
Kepler-180 c,neptune-like
Kepler-182 b,neptune-like
Kepler-182 c,neptune-like
Kepler-184 b,neptune-like
Kepler-184 d,neptune-like
Kepler-187 c,neptune-like
Kepler-188 c,neptune-like
Kepler-18 c,neptune-like
Kepler-18 d,neptune-like
Kepler-191 d,neptune-like
Kepler-192 b,neptune-like
Kepler-192 c,neptune-like
Kepler-193 b,neptune-like
Kepler-193 c,neptune-like
Kepler-194 c,neptune-like
Kepler-194 d,neptune-like
Kepler-196 c,neptune-like
Kepler-198 b,neptune-like
Kepler-198 c,neptune-like
GJ 3634 b,neptune-like
GJ 3779 b,neptune-like
GJ 3942 b,neptune-like
GJ 3998 c,neptune-like
GJ 414 A b,neptune-like
GJ 4276 b,neptune-like
GJ 667 C b,neptune-like
GJ 676 A e,neptune-like
GJ 720 A b,neptune-like
GJ 9066 b,neptune-like
GJ 9689 b,neptune-like
GJ 9827 d,neptune-like
HAT-P-11 b,neptune-like
HAT-P-26 b,neptune-like
HATS-37 A b,neptune-like
HATS-38 b,neptune-like
HD 10180 c,neptune-like
HD 10180 d,neptune-like
HD 10180 e,neptune-like
HD 10180 f,neptune-like
HD 10180 g,neptune-like
HD 102365 b,neptune-like
HD 103197 b,neptune-like
HD 103949 b,neptune-like
HD 106315 c,neptune-like
HD 107148 c,neptune-like
Kepler-684 b,neptune-like
Kepler-687 b,neptune-like
Kepler-689 b,neptune-like
Kepler-68 b,neptune-like
Kepler-690 b,neptune-like
Kepler-692 b,neptune-like
Kepler-694 b,neptune-like
Kepler-696 b,neptune-like
Kepler-697 b,neptune-like
Kepler-698 b,neptune-like
Kepler-69 b,neptune-like
Kepler-700 b,neptune-like
Kepler-701 b,neptune-like
Kepler-704 b,neptune-like
Kepler-705 b,neptune-like
Kepler-708 b,neptune-like
Kepler-709 b,neptune-like
Kepler-711 b,neptune-like
Kepler-712 b,neptune-like
Kepler-712 c,neptune-like
Kepler-713 b,neptune-like
Kepler-715 b,neptune-like
Kepler-716 b,neptune-like
Kepler-717 b,neptune-like
Kepler-721 b,neptune-like
Kepler-722 b,neptune-like
Kepler-722 c,neptune-like
Kepler-724 b,neptune-like
Kepler-726 b,neptune-like
Kepler-727 b,neptune-like
Kepler-728 b,neptune-like
Kepler-729 b,neptune-like
Kepler-732 b,neptune-like
Kepler-733 b,neptune-like
Kepler-734 b,neptune-like
Kepler-735 b,neptune-like
Kepler-736 b,neptune-like
Kepler-738 b,neptune-like
Kepler-739 b,neptune-like
Kepler-740 b,neptune-like
Kepler-741 b,neptune-like
Kepler-742 b,neptune-like
Kepler-745 b,neptune-like
Kepler-747 b,neptune-like
Kepler-748 b,neptune-like
Kepler-749 b,neptune-like
Kepler-750 b,neptune-like
Kepler-751 b,neptune-like
Kepler-752 b,neptune-like
HD 20003 b,neptune-like
HD 20003 c,neptune-like
HD 204313 c,neptune-like
HD 206255 b,neptune-like
HD 20781 c,neptune-like
HD 20781 d,neptune-like
HD 20781 e,neptune-like
HD 211970 b,neptune-like
HD 213885 c,neptune-like
HD 215497 b,neptune-like
HD 216520 b,neptune-like
HD 216520 c,neptune-like
HD 21693 b,neptune-like
HD 21693 c,neptune-like
HD 219134 g,neptune-like
HD 219666 b,neptune-like
HD 219828 b,neptune-like
HD 22496 b,neptune-like
HD 238090 b,neptune-like
HD 24085 b,neptune-like
HD 26965 b,neptune-like
HD 285968 b,neptune-like
HD 31527 b,neptune-like
HD 31527 c,neptune-like
HD 31527 d,neptune-like
HD 3167 c,neptune-like
HD 3167 d,neptune-like
HD 34445 d,neptune-like
HD 34445 e,neptune-like
HD 34445 f,neptune-like
HD 39194 c,neptune-like
HD 39855 b,neptune-like
HD 40307 c,neptune-like
HD 40307 d,neptune-like
HD 40307 f,neptune-like
HD 40307 g,neptune-like
HD 42618 b,neptune-like
HD 4308 b,neptune-like
HD 45184 b,neptune-like
HD 45184 c,neptune-like
HD 47186 b,neptune-like
HD 49674 b,neptune-like
HD 51608 b,neptune-like
HD 51608 c,neptune-like
HD 5278 b,neptune-like
HD 5278 c,neptune-like
HD 63433 b,neptune-like
HD 63433 c,neptune-like
HD 63935 b,neptune-like
Kepler-1580 b,neptune-like
Kepler-158 b,neptune-like
Kepler-1593 b,neptune-like
Kepler-159 b,neptune-like
Kepler-159 c,neptune-like
Kepler-1600 b,neptune-like
Kepler-1609 b,neptune-like
Kepler-160 c,neptune-like
Kepler-1621 b,neptune-like
Kepler-1624 b,neptune-like
Kepler-1625 b,neptune-like
Kepler-1627 b,neptune-like
Kepler-1628 b,neptune-like
Kepler-162 c,neptune-like
Kepler-1630 b,neptune-like
Kepler-1632 b,neptune-like
Kepler-1634 b,neptune-like
Kepler-1635 b,neptune-like
Kepler-1636 b,neptune-like
Kepler-1639 b,neptune-like
Kepler-163 c,neptune-like
Kepler-1640 b,neptune-like
Kepler-1641 b,neptune-like
Kepler-1641 c,neptune-like
Kepler-1642 b,neptune-like
Kepler-1642 c,neptune-like
Kepler-1643 b,neptune-like
Kepler-164 c,neptune-like
Kepler-164 d,neptune-like
Kepler-1653 b,neptune-like
Kepler-1655 b,neptune-like
Kepler-165 b,neptune-like
Kepler-165 c,neptune-like
Kepler-1661 b,neptune-like
Kepler-1663 b,neptune-like
Kepler-1664 b,neptune-like
Kepler-1665 b,neptune-like
Kepler-1666 b,neptune-like
Kepler-1666 c,neptune-like
Kepler-1667 b,neptune-like
Kepler-1668 b,neptune-like
Kepler-1669 b,neptune-like
Kepler-166 b,neptune-like
Kepler-166 c,neptune-like
Kepler-1670 b,neptune-like
Kepler-1672 b,neptune-like
Kepler-1673 b,neptune-like
Kepler-1674 b,neptune-like
Kepler-1675 b,neptune-like
Kepler-758 d,neptune-like
Kepler-759 b,neptune-like
Kepler-760 b,neptune-like
Kepler-765 b,neptune-like
Kepler-766 b,neptune-like
Kepler-767 b,neptune-like
Kepler-769 b,neptune-like
Kepler-770 b,neptune-like
Kepler-774 b,neptune-like
Kepler-781 b,neptune-like
Kepler-782 b,neptune-like
Kepler-783 c,neptune-like
Kepler-786 b,neptune-like
Kepler-788 b,neptune-like
Kepler-789 b,neptune-like
Kepler-790 b,neptune-like
Kepler-791 b,neptune-like
Kepler-794 b,neptune-like
Kepler-797 b,neptune-like
Kepler-798 b,neptune-like
Kepler-799 b,neptune-like
Kepler-79 b,neptune-like
Kepler-79 c,neptune-like
Kepler-79 d,neptune-like
Kepler-79 e,neptune-like
Kepler-800 b,neptune-like
Kepler-802 b,neptune-like
Kepler-803 b,neptune-like
Kepler-805 b,neptune-like
Kepler-809 b,neptune-like
Kepler-80 b,neptune-like
Kepler-80 c,neptune-like
Kepler-811 b,neptune-like
Kepler-812 b,neptune-like
Kepler-813 b,neptune-like
Kepler-814 b,neptune-like
Kepler-815 b,neptune-like
Kepler-818 b,neptune-like
Kepler-819 b,neptune-like
Kepler-81 c,neptune-like
Kepler-820 b,neptune-like
Kepler-827 b,neptune-like
Kepler-829 b,neptune-like
Kepler-82 b,neptune-like
Kepler-82 c,neptune-like
Kepler-82 e,neptune-like
Kepler-82 f,neptune-like
Kepler-835 b,neptune-like
Kepler-836 b,neptune-like
Kepler-234 b,neptune-like
Kepler-234 c,neptune-like
Kepler-235 b,neptune-like
Kepler-235 e,neptune-like
Kepler-238 c,neptune-like
Kepler-238 d,neptune-like
Kepler-238 e,neptune-like
Kepler-239 b,neptune-like
Kepler-239 c,neptune-like
Kepler-23 b,neptune-like
Kepler-23 c,neptune-like
Kepler-241 b,neptune-like
Kepler-241 c,neptune-like
Kepler-242 b,neptune-like
Kepler-243 b,neptune-like
Kepler-244 b,neptune-like
Kepler-245 b,neptune-like
Kepler-245 d,neptune-like
Kepler-246 b,neptune-like
Kepler-247 c,neptune-like
Kepler-247 d,neptune-like
Kepler-248 b,neptune-like
Kepler-248 c,neptune-like
Kepler-24 b,neptune-like
Kepler-24 c,neptune-like
Kepler-24 e,neptune-like
Kepler-250 c,neptune-like
Kepler-250 d,neptune-like
Kepler-251 c,neptune-like
Kepler-251 d,neptune-like
Kepler-251 e,neptune-like
Kepler-252 c,neptune-like
Kepler-253 c,neptune-like
Kepler-253 d,neptune-like
Kepler-254 b,neptune-like
Kepler-254 c,neptune-like
Kepler-254 d,neptune-like
Kepler-255 c,neptune-like
Kepler-256 c,neptune-like
Kepler-256 d,neptune-like
Kepler-256 e,neptune-like
Kepler-257 b,neptune-like
Kepler-257 c,neptune-like
Kepler-257 d,neptune-like
Kepler-258 b,neptune-like
Kepler-258 c,neptune-like
Kepler-259 b,neptune-like
Kepler-259 c,neptune-like
Kepler-25 b,neptune-like
Kepler-926 b,neptune-like
Kepler-92 c,neptune-like
Kepler-930 b,neptune-like
Kepler-933 b,neptune-like
Kepler-937 b,neptune-like
Kepler-937 c,neptune-like
Kepler-938 b,neptune-like
Kepler-940 b,neptune-like
Kepler-941 b,neptune-like
Kepler-942 b,neptune-like
Kepler-943 b,neptune-like
Kepler-944 b,neptune-like
Kepler-945 b,neptune-like
Kepler-947 b,neptune-like
Kepler-949 b,neptune-like
Kepler-94 b,neptune-like
Kepler-951 b,neptune-like
Kepler-953 b,neptune-like
Kepler-954 b,neptune-like
Kepler-955 b,neptune-like
Kepler-956 b,neptune-like
Kepler-957 b,neptune-like
Kepler-959 b,neptune-like
Kepler-95 b,neptune-like
Kepler-960 b,neptune-like
Kepler-961 b,neptune-like
Kepler-963 b,neptune-like
Kepler-964 b,neptune-like
Kepler-965 b,neptune-like
Kepler-966 b,neptune-like
Kepler-967 b,neptune-like
Kepler-967 c,neptune-like
Kepler-96 b,neptune-like
Kepler-970 b,neptune-like
Kepler-971 b,neptune-like
Kepler-972 b,neptune-like
Kepler-976 b,neptune-like
Kepler-977 b,neptune-like
Kepler-978 b,neptune-like
Kepler-979 b,neptune-like
Kepler-980 b,neptune-like
Kepler-981 b,neptune-like
Kepler-982 b,neptune-like
Kepler-983 b,neptune-like
Kepler-984 b,neptune-like
Kepler-985 b,neptune-like
Kepler-986 b,neptune-like
Kepler-987 b,neptune-like
Kepler-989 b,neptune-like
Kepler-990 b,neptune-like
Kepler-991 b,neptune-like
Kepler-993 b,neptune-like
Kepler-995 b,neptune-like
Kepler-998 b,neptune-like
Kepler-999 b,neptune-like
Kepler-9 c,neptune-like
KIC 10525077 b,neptune-like
KIC 3558849 b,neptune-like
KIC 5437945 b,neptune-like
KIC 5951458 b,neptune-like
KIC 8540376 b,neptune-like
KIC 8540376 c,neptune-like
KIC 9663113 b,neptune-like
KMT-2017-BLG-0165L b,neptune-like
KMT-2018-BLG-0029L b,neptune-like
KMT-2018-BLG-1025L b,neptune-like
KMT-2019-BLG-0842L b,neptune-like
KOI-142 b,neptune-like
KOI-1783.02,neptune-like
LP 714-47 b,neptune-like
LP 791-18 c,neptune-like
LSPM J2116+0234 b,neptune-like
LTT 9779 b,neptune-like
MOA-2008-BLG-310L b,neptune-like
MOA-2009-BLG-266L b,neptune-like
MOA-2010-BLG-328L b,neptune-like
MOA-2011-BLG-028L b,neptune-like
MOA-2011-BLG-262L b,neptune-like
MOA-2011-BLG-291L b,neptune-like
MOA-2012-BLG-505L b,neptune-like
MOA-2015-BLG-337L b,neptune-like
NGTS-14 A b,neptune-like
OGLE-2005-BLG-169L b,neptune-like
OGLE-2005-BLG-390L b,neptune-like
OGLE-2007-BLG-368L b,neptune-like
OGLE-2012-BLG-0950L b,neptune-like
OGLE-2015-BLG-0966L b,neptune-like
OGLE-2015-BLG-1670L b,neptune-like
OGLE-2017-BLG-0482L b,neptune-like
OGLE-2018-BLG-0596L b,neptune-like
OGLE-2018-BLG-1185L b,neptune-like
pi Men c,neptune-like
rho CrB c,neptune-like
TCP J05074264+2447555 b,neptune-like
Kepler-1026 b,neptune-like
Kepler-1030 b,neptune-like
Kepler-1033 b,neptune-like
Kepler-1034 b,neptune-like
Kepler-1036 b,neptune-like
Kepler-1038 b,neptune-like
Kepler-103 b,neptune-like
Kepler-103 c,neptune-like
Kepler-1041 b,neptune-like
Kepler-1042 b,neptune-like
Kepler-1043 b,neptune-like
Kepler-1044 b,neptune-like
Kepler-1045 b,neptune-like
Kepler-104 c,neptune-like
Kepler-104 d,neptune-like
Kepler-1051 b,neptune-like
Kepler-1052 b,neptune-like
Kepler-1054 b,neptune-like
Kepler-1056 b,neptune-like
Kepler-1057 b,neptune-like
Kepler-1058 b,neptune-like
Kepler-105 b,neptune-like
Kepler-1060 b,neptune-like
Kepler-1065 b,neptune-like
Kepler-1066 b,neptune-like
Kepler-1068 b,neptune-like
Kepler-1071 b,neptune-like
Kepler-1073 b,neptune-like
Kepler-1077 b,neptune-like
Kepler-107 e,neptune-like
Kepler-1080 b,neptune-like
Kepler-1083 b,neptune-like
Kepler-1085 c,neptune-like
Kepler-1086 b,neptune-like
Kepler-1086 c,neptune-like
Kepler-1090 b,neptune-like
Kepler-1094 b,neptune-like
Kepler-1097 b,neptune-like
Kepler-1099 b,neptune-like
Kepler-109 b,neptune-like
Kepler-109 c,neptune-like
Kepler-1101 b,neptune-like
Kepler-1102 b,neptune-like
Kepler-1103 b,neptune-like
Kepler-1109 b,neptune-like
Kepler-110 c,neptune-like
Kepler-1110 b,neptune-like
Kepler-1112 b,neptune-like
Kepler-1113 b,neptune-like
Kepler-1118 b,neptune-like
Kepler-1128 b,neptune-like
Kepler-1129 b,neptune-like
Kepler-1129 c,neptune-like
Kepler-112 b,neptune-like
Kepler-112 c,neptune-like
Kepler-1132 b,neptune-like
Kepler-1134 b,neptune-like
Kepler-1137 b,neptune-like
Kepler-113 c,neptune-like
Kepler-1140 b,neptune-like
Kepler-1143 c,neptune-like
Kepler-1147 b,neptune-like
Kepler-114 d,neptune-like
Kepler-1151 b,neptune-like
Kepler-1154 b,neptune-like
Kepler-1154 c,neptune-like
Kepler-1158 b,neptune-like
Kepler-1159 b,neptune-like
Kepler-115 c,neptune-like
Kepler-1160 b,neptune-like
Kepler-1161 b,neptune-like
Kepler-1162 b,neptune-like
Kepler-1168 b,neptune-like
Kepler-116 b,neptune-like
Kepler-116 c,neptune-like
Kepler-1170 b,neptune-like
Kepler-1171 b,neptune-like
Kepler-1172 b,neptune-like
Kepler-1175 b,neptune-like
Kepler-1176 b,neptune-like
Kepler-117 b,neptune-like
Kepler-1182 b,neptune-like
Kepler-1183 b,neptune-like
Kepler-1184 b,neptune-like
Kepler-1186 b,neptune-like
Kepler-1187 b,neptune-like
Kepler-1192 b,neptune-like
Kepler-1196 b,neptune-like
Kepler-119 b,neptune-like
Kepler-11 c,neptune-like
Kepler-11 d,neptune-like
Kepler-11 e,neptune-like
Kepler-11 f,neptune-like
Kepler-11 g,neptune-like
Kepler-1201 b,neptune-like
Kepler-1202 b,neptune-like
Kepler-1204 b,neptune-like
Kepler-1208 b,neptune-like
Kepler-1212 b,neptune-like
Kepler-1214 b,neptune-like
Kepler-1219 b,neptune-like
Kepler-121 b,neptune-like
Kepler-121 c,neptune-like
Kepler-1227 b,neptune-like
Kepler-122 b,neptune-like
Kepler-122 c,neptune-like
Kepler-122 d,neptune-like
Kepler-122 e,neptune-like
Kepler-1230 b,neptune-like
Kepler-1233 b,neptune-like
Kepler-1234 b,neptune-like
Kepler-1236 b,neptune-like
Kepler-1237 b,neptune-like
Kepler-1239 b,neptune-like
Kepler-1241 b,neptune-like
Kepler-1242 b,neptune-like
Kepler-1247 b,neptune-like
Kepler-1249 b,neptune-like
Kepler-1255 b,neptune-like
Kepler-125 b,neptune-like
Kepler-1261 b,neptune-like
Kepler-1266 b,neptune-like
Kepler-1267 b,neptune-like
Kepler-126 d,neptune-like
Kepler-1270 b,neptune-like
Kepler-1272 b,neptune-like
Kepler-1273 b,neptune-like
Kepler-127 c,neptune-like
Kepler-127 d,neptune-like
Kepler-1286 b,neptune-like
Kepler-1294 b,neptune-like
Kepler-1299 b,neptune-like
Kepler-1304 b,neptune-like
Kepler-1307 b,neptune-like
Kepler-1309 b,neptune-like
Kepler-130 c,neptune-like
Kepler-1312 b,neptune-like
Kepler-1314 b,neptune-like
Kepler-1316 b,neptune-like
Kepler-1318 b,neptune-like
Kepler-1321 b,neptune-like
Kepler-1321 c,neptune-like
